ma,ten,loai,mo_ta,ghi_chu
CMP-001,Input Text,UI Control,"Ô nhập liệu văn bản thông thường (text, number, email...).",
CMP-002,Dropdown / Select,UI Control,Danh sách xổ xuống để chọn một hoặc nhiều giá trị.,
CMP-003,Date/Time Picker,UI Control,"Bộ chọn ngày, tháng, năm hoặc giờ phút.",
CMP-004,Checkbox,UI Control,Hộp kiểm cho phép chọn nhiều lựa chọn độc lập.,
CMP-005,Radio Button,UI Control,Nút chọn một lựa chọn duy nhất trong một nhóm.,
CMP-006,Data Table / Grid,UI Control,Bảng hiển thị dữ liệu dạng dòng/cột.,
CMP-007,Modal / Popup,UI Control,Cửa sổ nổi trên màn hình hiện tại để hiển thị thông tin hoặc form.,
CMP-008,Button,UI Control,"Nút bấm thực hiện hành động (Lưu, Hủy, Tìm kiếm...).",
CMP-009,Textarea,UI Control,Ô nhập liệu văn bản có thể xuống dòng (nhập đoạn văn).,
CMP-010,Toggle / Switch,UI Control,Nút gạt bật/tắt trạng thái (On/Off).,
CMP-011,File Upload,UI Control,Thành phần chọn và tải tập tin từ máy tính lên hệ thống.,
CMP-012,Autocomplete / Typeahead,UI Control,Ô nhập liệu có gợi ý kết quả khi đang gõ từ khóa.,
CMP-013,Tree View,UI Control,Hiển thị dữ liệu dạng cây phân cấp (có thể mở rộng/thu gọn).,
CMP-014,Bộ lọc dữ liệu (Filter),Tính năng chung,Cho phép nhập các tiêu chí để lọc và tìm kiếm danh sách dữ liệu.,
CMP-015,Phân trang (Pagination),Tính năng chung,Chia nhỏ danh sách dữ liệu thành nhiều trang (Ví dụ: 20 bản ghi/trang).,
CMP-016,Xuất Excel / CSV,Tính năng chung,Chức năng trích xuất dữ liệu trên lưới (Grid) ra file Excel/CSV.,
CMP-017,Nhập Excel / CSV,Tính năng chung,Chức năng đọc và đẩy dữ liệu từ file Excel/CSV vào hệ thống.,
CMP-018,Lịch sử cập nhật (Audit Log),Tính năng chung,"Ghi nhận và hiển thị lịch sử tác động (Ai tạo/sửa, thời gian, dữ liệu cũ/mới).",
CMP-019,Sắp xếp dữ liệu (Sorting),Tính năng chung,Bấm vào tiêu đề cột trên Data Table để sắp xếp tăng/giảm dần.,
CMP-020,Toast Message / Notification,Tính năng chung,"Thông báo góc màn hình tự ẩn (Thành công, Lỗi, Cảnh báo).",
CMP-021,Confirm Dialog,Tính năng chung,Hộp thoại xác nhận trước khi thực hiện hành động quan trọng (VD: Xóa).,
CMP-022,Breadcrumb,Tính năng chung,Đường dẫn phân cấp phía trên cùng để người dùng biết mình đang ở đâu.,
CMP-023,Tải xuống tập tin (Download),Tính năng chung,"Tải các tập tin biểu mẫu, tài liệu đính kèm về máy tính.",
